Reference,Value,Part Type
C1,0.015uF,SMT 0603
C2,0.1uF,SMT 0603
C3,0.1uF,SMT 0603
C4,100pF,SMT 0603
C5,0.015uF,SMT 0603
C6,0.1uF,SMT 0603
C7,0.1uF,SMT 0603
C8,100pF,SMT 0603
C9,0.015uF,SMT 0603
C10,0.1uF,SMT 0603
C11,0.1uF,SMT 0603
C12,100pF,SMT 0603
C13,1.0uF,SMT 0603
C14,1.0uF,SMT 0603
J1,BNC,Digi-Key ARF1065NW-ND
J2,BNC,Digi-Key ARF1065NW-ND
J3,BNC,Digi-Key ARF1065NW-ND
J4,BNC,Digi-Key ARF1065NW-ND
J5,BNC,Digi-Key ARF1065NW-ND
J6,BNC,Digi-Key ARF1065NW-ND
J7,,Digi-Key WM4622
R1,100k,SMT 0603
R2,10k,SMT 0603
R3,10k,SMT 0603
R4,20.0k 1%,SMT 0603
R5,20.0k 1%,SMT 0603
R6,10k,SMT 0603
R7,300,SMT 0603
R8,100k,SMT 0603
R9,10k,SMT 0603
R10,10k,SMT 0603
R11,20.0k 1%,SMT 0603
R12,20.0k 1%,SMT 0603
R13,10k,SMT 0603
R14,300,SMT 0603
R15,100k,SMT 0603
R16,10k,SMT 0603
R17,10k,SMT 0603
R18,20.0k 1%,SMT 0603
R19,20.0k 1%,SMT 0603
R20,10k,SMT 0603
R21,300,SMT 0603
U1,LMC6482,Digi-Key LMC6482IMX/NOPBCT-ND
U2,LMC6482,Digi-Key LMC6482IMX/NOPBCT-ND
U3,LMC6482,Digi-Key LMC6482IMX/NOPBCT-ND
